idade;at_2000_F;at_2000_M;AT_49_F;AT_49_M;AT_83_F;AT_83_M
58;0,003578;0,006265;0,006193;0,013476;0,003739;0,007290
59;0,003907;0,006694;0,006812;0,014542;0,004081;0,007782
60;0,004277;0,007170;0,007504;0,015662;0,004467;0,008338
61;0,004699;0,007714;0,008278;0,016869;0,004908;0,008983
62;0,005181;0,008348;0,009144;0,018199;0,005413;0,009740
63;0,005732;0,009093;0,010112;0,019666;0,005990;0,010630
64;0,006347;0,009968;0,011195;0,021283;0,006633;0,011664
65;0,007017;0,010993;0,012406;0,023066;0,007336;0,012851
66;0,007734;0,012188;0,013759;0,025030;0,008090;0,014199
67;0,008491;0,013572;0,015272;0,027193;0,008888;0,015717
68;0,009288;0,015160;0,016963;0,029577;0,009731;0,017414
69;0,010163;0,016946;0,018853;0,032202;0,010653;0,019296
70;0,011165;0,018920;0,020964;0,035092;0,011697;0,021371
71;0,012339;0,021071;0,023321;0,038272;0,012905;0,023647
72;0,013734;0,023388;0,025954;0,041771;0,014319;0,026131
73;0,015391;0,025871;0,028892;0,045620;0,015980;0,028835
74;0,017326;0,028552;0,032171;0,049852;0,017909;0,031794
75;0,019551;0,031477;0,035829;0,054501;0,020127;0,035046
76;0,022075;0,034686;0,039907;0,059609;0,022654;0,038631
77;0,024910;0,038225;0,044451;0,065216;0,025509;0,042587
78;0,028074;0,042132;0,049513;0,071368;0,028717;0,046951
79;0,031612;0,046427;0,055147;0,078113;0,032328;0,051755
80;0,035580;0,051128;0,061415;0,085503;0,036395;0,057026
81;0,040030;0,056250;0,068383;0,093593;0,040975;0,062791
82;0,045017;0,061809;0,076121;0,102443;0,046121;0,069081
83;0,050600;0,067826;0,084707;0,112113;0,051889;0,075908
84;0,056865;0,074322;0,094224;0,122669;0,058336;0,083230
85;0,063907;0,081326;0,104760;0,134178;0,065518;0,090987
86;0,071815;0,088863;0,116409;0,146709;0,073493;0,099122
87;0,080682;0,096958;0,129270;0,160333;0,082318;0,107577
88;0,090557;0,105631;0,143445;0,175124;0,092017;0,116316
89;0,101307;0,114858;0,159040;0,191151;0,102491;0,125394
90;0,112759;0,124612;0,176161;0,208485;0,113605;0,134887
91;0,124733;0,134861;0,194913;0,227192;0,125227;0,144873
92;0,137054;0,145575;0,215399;0,247332;0,137222;0,155429
93;0,149552;0,156727;0,237714;0,268960;0,149462;0,166629
94;0,162079;0,168290;0,261943;0,292118;0,161834;0,178537
95;0,174492;0,180245;0,288153;0,316834;0,174228;0,191214
96;0,186647;0,192565;0,316391;0,343122;0,186535;0,204721
97;0,198403;0,205229;0,346674;0,370973;0,198646;0,219120
98;0,210337;0,218683;0,378986;0,400352;0,211102;0,234735
99;0,223027;0,233371;0,413266;0,431199;0,224445;0,251889
100;0,237051;0,249741;0,449400;0,463415;0,239215;0,270906
101;0,252985;0,268237;0,487216;0,496870;0,255953;0,292111
102;0,271406;0,289305;0,526477;0,531389;0,275201;0,315826
103;0,292893;0,313391;0,566872;0,566757;0,297500;0,342377
104;0,318023;0,340940;0,608017;0,602714;0,323390;0,372086
105;0,347373;0,372398;0,649459;0,638956;0,353414;0,405278
106;0,381520;0,408210;0,690674;0,675143;0,388111;0,442277
107;0,421042;0,448823;0,731092;0,710898;0,428023;0,483406
108;0,466516;0,494681;0,770105;0,745822;0,473692;0,528989
109;0,518520;0,546231;1,000000;1,000000;0,525658;0,579351
110;0,577631;0,603917;1,000000;1,000000;0,584462;0,634814
111;0,644427;0,668186;1,000000;1,000000;0,650646;0,695704
112;0,719484;0,739483;1,000000;1,000000;0,724750;0,762343
113;0,803380;0,818254;1,000000;1,000000;0,807316;0,835056
114;0,896693;0,904945;1,000000;1,000000;0,898885;0,914167
115;1,000000;1,000000;1,000000;1,000000;1,000000;1,000000
